time_of_day,department,wait_time,patients_waiting,doctors_available,satisfaction_score
2025-01-01 00:00:00,Memory Clinic,7.3,0,3,4.3
2025-01-01 00:00:00,Mood Disorders,13.6,0,5,4.9
2025-01-01 00:00:00,Psychogeriatric Clinic,0.8,0,5,4.7
2025-01-01 01:00:00,Memory Clinic,11.1,1,5,5.0
2025-01-01 01:00:00,Mood Disorders,2.2,0,5,3.6
2025-01-01 01:00:00,Psychogeriatric Clinic,3.5,0,4,4.2
2025-01-01 02:00:00,Memory Clinic,10.8,1,5,2.7
2025-01-01 02:00:00,Mood Disorders,1.1,3,5,4.5
2025-01-01 02:00:00,Psychogeriatric Clinic,9.5,0,4,4.3
2025-01-01 03:00:00,Memory Clinic,8.7,0,5,3.7
2025-01-01 03:00:00,Mood Disorders,6.6,3,4,5.0
2025-01-01 03:00:00,Psychogeriatric Clinic,8.2,0,4,5.0
2025-01-01 04:00:00,Memory Clinic,15.5,3,5,3.7
2025-01-01 04:00:00,Mood Disorders,20.3,1,4,4.1
2025-01-01 04:00:00,Psychogeriatric Clinic,16.0,2,5,1.8
2025-01-01 05:00:00,Memory Clinic,29.3,6,3,3.0
2025-01-01 05:00:00,Mood Disorders,26.2,7,4,3.0
2025-01-01 05:00:00,Psychogeriatric Clinic,23.8,9,1,4.5
2025-01-01 06:00:00,Memory Clinic,30.5,10,1,4.8
2025-01-01 06:00:00,Mood Disorders,31.8,12,2,0.9
2025-01-01 06:00:00,Psychogeriatric Clinic,25.0,12,1,3.3
2025-01-01 07:00:00,Memory Clinic,45.6,13,3,1.7
2025-01-01 07:00:00,Mood Disorders,38.0,12,1,3.1
2025-01-01 07:00:00,Psychogeriatric Clinic,33.7,14,2,0.2
2025-01-01 08:00:00,Memory Clinic,36.8,16,0,2.0
2025-01-01 08:00:00,Mood Disorders,47.6,13,3,1.1
2025-01-01 08:00:00,Psychogeriatric Clinic,45.6,15,2,0.1
2025-01-01 09:00:00,Memory Clinic,60.5,18,3,1.8
2025-01-01 09:00:00,Mood Disorders,53.4,15,0,0.0
2025-01-01 09:00:00,Psychogeriatric Clinic,43.3,18,0,1.8
2025-01-01 10:00:00,Memory Clinic,49.4,19,1,2.0
2025-01-01 10:00:00,Mood Disorders,53.1,18,0,0.0
2025-01-01 10:00:00,Psychogeriatric Clinic,56.4,19,0,0.0
2025-01-01 11:00:00,Memory Clinic,52.5,22,0,0.0
2025-01-01 11:00:00,Mood Disorders,62.9,20,0,0.0
2025-01-01 11:00:00,Psychogeriatric Clinic,62.6,20,0,1.3
2025-01-01 12:00:00,Memory Clinic,61.6,22,0,0.0
2025-01-01 12:00:00,Mood Disorders,74.0,17,0,1.0
2025-01-01 12:00:00,Psychogeriatric Clinic,68.8,20,1,0.0
2025-01-01 13:00:00,Memory Clinic,65.7,19,0,2.4
2025-01-01 13:00:00,Mood Disorders,54.3,21,0,0.5
2025-01-01 13:00:00,Psychogeriatric Clinic,64.8,18,0,0.0
2025-01-01 14:00:00,Memory Clinic,56.7,19,0,0.1
2025-01-01 14:00:00,Mood Disorders,61.0,21,0,1.0
2025-01-01 14:00:00,Psychogeriatric Clinic,59.8,17,0,2.0
2025-01-01 15:00:00,Memory Clinic,53.2,19,2,0.9
2025-01-01 15:00:00,Mood Disorders,50.5,19,0,1.2
2025-01-01 15:00:00,Psychogeriatric Clinic,56.2,16,1,0.1
2025-01-01 16:00:00,Memory Clinic,48.5,17,2,2.0
2025-01-01 16:00:00,Mood Disorders,41.6,13,2,2.8
2025-01-01 16:00:00,Psychogeriatric Clinic,43.6,16,1,1.6
2025-01-01 17:00:00,Memory Clinic,34.2,13,2,2.4
2025-01-01 17:00:00,Mood Disorders,39.9,15,3,1.9
2025-01-01 17:00:00,Psychogeriatric Clinic,38.7,9,3,2.6
2025-01-01 18:00:00,Memory Clinic,22.7,8,2,3.8
2025-01-01 18:00:00,Mood Disorders,37.2,13,3,1.1
2025-01-01 18:00:00,Psychogeriatric Clinic,38.4,9,1,1.6
2025-01-01 19:00:00,Memory Clinic,21.2,10,4,3.1
2025-01-01 19:00:00,Mood Disorders,19.2,8,2,2.0
2025-01-01 19:00:00,Psychogeriatric Clinic,24.7,8,2,1.6
2025-01-01 20:00:00,Memory Clinic,16.7,4,4,4.0
2025-01-01 20:00:00,Mood Disorders,14.4,5,5,5.0
2025-01-01 20:00:00,Psychogeriatric Clinic,16.8,6,3,5.0
2025-01-01 21:00:00,Memory Clinic,6.2,1,4,4.5
2025-01-01 21:00:00,Mood Disorders,12.0,2,5,3.9
2025-01-01 21:00:00,Psychogeriatric Clinic,8.1,2,4,4.2
2025-01-01 22:00:00,Memory Clinic,5.0,3,5,5.0
2025-01-01 22:00:00,Mood Disorders,1.6,0,5,4.9
2025-01-01 22:00:00,Psychogeriatric Clinic,10.4,1,5,4.6
2025-01-01 23:00:00,Memory Clinic,1.3,0,5,5.0
2025-01-01 23:00:00,Mood Disorders,3.4,0,4,5.0
2025-01-01 23:00:00,Psychogeriatric Clinic,0.0,0,5,3.5
2025-01-02 00:00:00,Memory Clinic,0.0,1,5,4.7
2025-01-02 00:00:00,Mood Disorders,0.0,0,5,5.0
2025-01-02 00:00:00,Psychogeriatric Clinic,1.4,2,4,4.6
2025-01-02 01:00:00,Memory Clinic,8.6,3,5,2.8
2025-01-02 01:00:00,Mood Disorders,0.0,0,5,5.0
2025-01-02 01:00:00,Psychogeriatric Clinic,4.8,2,5,3.3
2025-01-02 02:00:00,Memory Clinic,6.2,0,5,4.4
2025-01-02 02:00:00,Mood Disorders,5.9,2,5,4.0
2025-01-02 02:00:00,Psychogeriatric Clinic,0.0,2,5,4.9
2025-01-02 03:00:00,Memory Clinic,0.0,1,3,4.4
2025-01-02 03:00:00,Mood Disorders,9.0,3,5,3.3
2025-01-02 03:00:00,Psychogeriatric Clinic,0.4,5,5,3.4
2025-01-02 04:00:00,Memory Clinic,15.0,5,4,4.0
2025-01-02 04:00:00,Mood Disorders,14.7,4,5,5.0
2025-01-02 04:00:00,Psychogeriatric Clinic,18.9,7,3,3.8
2025-01-02 05:00:00,Memory Clinic,10.4,3,4,2.0
2025-01-02 05:00:00,Mood Disorders,19.3,7,3,3.8
2025-01-02 05:00:00,Psychogeriatric Clinic,28.7,8,3,2.5
2025-01-02 06:00:00,Memory Clinic,29.4,16,2,4.2
2025-01-02 06:00:00,Mood Disorders,27.3,8,1,2.4
2025-01-02 06:00:00,Psychogeriatric Clinic,32.8,11,2,0.4
2025-01-02 07:00:00,Memory Clinic,37.6,11,2,2.8
2025-01-02 07:00:00,Mood Disorders,39.7,16,1,2.0
2025-01-02 07:00:00,Psychogeriatric Clinic,44.8,11,5,0.6
2025-01-02 08:00:00,Memory Clinic,49.8,16,1,1.7
2025-01-02 08:00:00,Mood Disorders,43.9,14,0,0.0
